Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SONATSOFTW,EQ,15-May-2017,163.6,164.9,165.0,162.1,162.45,162.65,163.09,53383,8706165.55,1251,35924,67.29
SONATSOFTW,EQ,16-May-2017,162.65,163.0,163.95,158.0,158.5,158.6,160.17,270635,43346778.55,5672,155739,57.55
SONATSOFTW,EQ,17-May-2017,158.6,158.5,159.85,157.55,158.0,158.25,158.62,56955,9034082.85,1206,37437,65.73
SONATSOFTW,EQ,18-May-2017,158.25,158.25,161.75,156.55,156.75,157.4,158.69,169341,26872646.85,3728,85633,50.57
SONATSOFTW,EQ,19-May-2017,157.4,156.6,159.0,150.3,151.7,151.9,154.0,167554,25803272.65,2082,117644,70.21
SONATSOFTW,EQ,22-May-2017,151.9,153.4,153.4,150.0,150.05,150.45,151.17,111525,16859640.15,3503,75527,67.72
SONATSOFTW,EQ,23-May-2017,150.45,150.0,150.25,144.55,146.5,146.05,146.52,220787,32349931.1,6312,156354,70.82
SONATSOFTW,EQ,24-May-2017,146.05,147.0,148.0,143.85,144.0,146.0,145.99,143541,20955344.85,2590,86947,60.57
SONATSOFTW,EQ,25-May-2017,146.0,144.0,150.45,143.0,150.0,149.65,147.2,152779,22489070.0,3115,103014,67.43
SONATSOFTW,EQ,26-May-2017,149.65,150.0,153.0,146.6,149.45,149.65,148.98,166213,24762185.3,4221,101839,61.27
SONATSOFTW,EQ,29-May-2017,149.65,151.6,152.7,148.0,149.9,148.6,150.28,97412,14638594.6,2008,67754,69.55
SONATSOFTW,EQ,30-May-2017,148.6,152.9,152.9,148.75,149.65,149.8,150.3,116285,17477665.15,2562,77761,66.87
SONATSOFTW,EQ,31-May-2017,149.8,149.7,152.05,147.6,150.0,148.95,149.57,138676,20742097.0,2583,100020,72.12
SONATSOFTW,EQ,01-Jun-2017,148.95,147.5,157.25,147.5,153.5,153.05,153.01,972944,148866179.5,10993,798433,82.06
SONATSOFTW,EQ,02-Jun-2017,153.05,155.05,163.7,153.1,160.0,159.35,159.14,473285,75320366.85,10671,260370,55.01
SONATSOFTW,EQ,05-Jun-2017,159.35,160.1,166.8,159.95,162.5,162.9,163.77,207187,33930200.95,4618,86285,41.65
SONATSOFTW,EQ,06-Jun-2017,162.9,163.9,168.5,161.0,164.0,164.1,165.84,273667,45384942.6,5480,119759,43.76
SONATSOFTW,EQ,07-Jun-2017,164.1,164.95,168.7,159.0,159.9,160.75,163.8,392254,64252314.75,6905,138758,35.37
SONATSOFTW,EQ,08-Jun-2017,160.75,162.3,162.3,157.25,158.5,158.45,158.78,86270,13698353.8,2992,47161,54.67
SONATSOFTW,EQ,09-Jun-2017,158.45,160.3,162.0,157.65,160.25,160.4,160.16,130731,20938125.75,3004,57083,43.66
SONATSOFTW,EQ,12-Jun-2017,160.4,159.0,161.0,156.0,156.2,156.3,157.29,125785,19785272.65,2410,81667,64.93
SONATSOFTW,EQ,13-Jun-2017,156.3,156.3,157.45,153.35,155.0,154.15,155.1,128496,19929365.65,2826,90286,70.26
SONATSOFTW,EQ,14-Jun-2017,154.15,153.1,154.75,149.0,153.35,152.7,151.89,246320,37413033.8,4519,144695,58.74
SONATSOFTW,EQ,15-Jun-2017,152.7,152.0,153.0,149.5,150.55,150.5,151.22,128005,19357193.1,3300,89141,69.64
SONATSOFTW,EQ,16-Jun-2017,150.5,152.0,163.85,150.6,157.05,158.05,156.84,560532,87913904.15,7569,250487,44.69
SONATSOFTW,EQ,19-Jun-2017,158.05,158.05,158.35,153.1,153.8,153.95,155.23,179646,27886253.5,5050,100106,55.72
SONATSOFTW,EQ,20-Jun-2017,153.95,153.25,155.3,152.6,154.15,153.95,153.95,138448,21313807.3,4073,90121,65.09
SONATSOFTW,EQ,21-Jun-2017,153.95,153.8,155.2,152.15,153.2,152.85,152.96,140085,21427430.45,4509,106974,76.36
SONATSOFTW,EQ,22-Jun-2017,152.85,153.95,155.25,151.5,152.5,152.25,153.25,114800,17593386.55,3416,72306,62.98
SONATSOFTW,EQ,23-Jun-2017,152.25,152.6,152.85,149.6,151.35,151.3,150.95,136992,20678531.25,3372,95696,69.86
SONATSOFTW,EQ,27-Jun-2017,151.3,151.55,152.9,149.1,149.8,149.85,150.34,59365,8924752.95,1596,39774,67.0
SONATSOFTW,EQ,28-Jun-2017,149.85,150.0,152.0,148.7,151.95,151.05,150.5,84122,12660682.55,2622,59889,71.19
SONATSOFTW,EQ,29-Jun-2017,151.05,151.95,158.0,150.1,157.0,157.0,155.08,400652,62131387.8,8612,240178,59.95
SONATSOFTW,EQ,30-Jun-2017,157.0,156.0,156.7,152.0,153.2,152.9,154.59,197273,30497270.05,5020,144527,73.26
SONATSOFTW,EQ,03-Jul-2017,152.9,153.9,157.15,153.05,155.5,155.7,155.16,233039,36157257.3,7382,180851,77.61
SONATSOFTW,EQ,04-Jul-2017,155.7,156.0,156.0,151.9,152.25,152.4,153.21,170059,26054445.1,8356,130278,76.61
SONATSOFTW,EQ,05-Jul-2017,152.4,153.4,163.9,152.5,162.8,163.0,160.18,1194379,191320378.35,21337,514380,43.07
SONATSOFTW,EQ,06-Jul-2017,163.0,164.0,166.5,162.25,163.4,163.35,164.29,445995,73272495.2,8550,237659,53.29
SONATSOFTW,EQ,07-Jul-2017,163.35,162.7,164.7,162.0,162.6,162.45,163.15,128611,20983349.3,2799,77856,60.54
SONATSOFTW,EQ,10-Jul-2017,162.45,162.0,168.0,155.0,164.0,163.9,163.45,50403,8238428.7,537,33165,65.8
SONATSOFTW,EQ,11-Jul-2017,163.9,163.4,169.2,161.55,163.25,163.15,166.49,477255,79457167.9,5283,219408,45.97
SONATSOFTW,EQ,12-Jul-2017,163.15,164.4,167.4,164.1,165.75,165.8,165.6,196458,32533905.9,2980,110075,56.03
SONATSOFTW,EQ,13-Jul-2017,165.8,166.0,167.6,163.5,164.15,163.95,164.77,133566,22007748.3,3889,91800,68.73
SONATSOFTW,EQ,14-Jul-2017,163.95,164.8,165.5,159.3,161.15,160.7,162.4,165381,26858512.35,4166,118097,71.41
SONATSOFTW,EQ,17-Jul-2017,160.7,161.95,165.8,160.55,164.0,164.35,163.54,150427,24601277.3,3275,88090,58.56
SONATSOFTW,EQ,18-Jul-2017,164.35,165.0,165.0,160.6,161.25,161.25,162.24,147307,23898745.25,6079,94673,64.27
SONATSOFTW,EQ,19-Jul-2017,161.25,162.8,162.8,160.3,161.45,161.05,161.36,147686,23830975.6,4403,108974,73.79
SONATSOFTW,EQ,20-Jul-2017,161.05,161.25,162.85,160.0,161.5,160.85,161.29,101449,16362376.05,4013,72985,71.94
SONATSOFTW,EQ,21-Jul-2017,160.85,161.15,162.85,160.25,160.85,161.55,161.54,126583,20448554.5,4582,90256,71.3
SONATSOFTW,EQ,24-Jul-2017,161.55,162.95,165.7,161.2,163.0,162.8,163.91,153134,25099617.9,2706,73809,48.2
SONATSOFTW,EQ,25-Jul-2017,162.8,162.1,163.95,161.6,162.9,163.15,162.7,112604,18320128.6,1290,74634,66.28
SONATSOFTW,EQ,26-Jul-2017,163.15,164.15,164.6,162.2,162.7,162.9,163.32,71645,11701011.25,1152,44534,62.16
SONATSOFTW,EQ,27-Jul-2017,162.9,165.7,174.0,164.45,168.15,167.95,170.08,1076531,183092975.9,11399,450559,41.85
